effort,population,lifestage,conditioning,tank,date,length.mm
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,35.48
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,34.05
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,32.54
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,40.2
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,35.28
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,35.94
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,33.95
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,39.42
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,27.44
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,26.27
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,34.64
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,26.01
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,25.93
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,29.58
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,22.25
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,33.54
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,32
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,22.65
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,35
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,30.31
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,34.77
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,25.91
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,29.12
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,28.55
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,22.25
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,12.61
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,18.18
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,29.68
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,23.43
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,21.97
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,26.64
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,23.99
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,19.97
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,23.85
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,24.61
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,22.44
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,18.63
E,2023 POGS,large seed,weekly temperature,outdoor tray,5/6/24,15.34
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,20.38
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,34
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,15.22
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,25.46
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,20.79
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,20.21
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,31.26
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,23.55
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,16.42
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,26.25
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,31.43
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,18.2
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,14.16
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,14.25
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,22.62
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,17.33
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,26.94
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,38.32
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,18.57
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,24.28
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,27.07
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,21.41
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,24.47
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,26.21
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,22.66
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,24.25
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,21.88
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,18.78
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,22.05
E,2023 POGS,large seed,weekly fresh water,outdoor tray,5/6/24,22.27
